[slumbot] Building 169-bucket preflop abstraction...
[slumbot] Abstraction built in 278.68s
[slumbot] Training NL MCCFR for 1 iterations (169 buckets)...
  [Resume] Loading checkpoint from checkpoint_60M_total.dat ...
  [Resume] Loaded P0=179615196 P1=217724256 info sets. Continuing training.
[slumbot] Training complete in 269.00s. P0: 179615196, P1: 217724256 info sets
[slumbot] Starting session: LIVE (slumbot.com), 25000 hands
[slumbot] Hand 2560/25000: won=300 total=-360039 (-1406.40 mbb/hand)
[slumbot] Hand 2570/25000: won=-600 total=-358489 (-1394.90 mbb/hand)
[slumbot] Hand 2580/25000: won=200 total=-358789 (-1390.66 mbb/hand)
[slumbot] Hand 2590/25000: won=-100 total=-356689 (-1377.18 mbb/hand)
[slumbot] Hand 2600/25000: won=-50 total=-356289 (-1370.34 mbb/hand)
[slumbot] Hand 2610/25000: won=-50 total=-352839 (-1351.87 mbb/hand)
[slumbot] Hand 2620/25000: won=-50 total=-352414 (-1345.09 mbb/hand)
[slumbot] Hand 2630/25000: won=-50 total=-349364 (-1328.38 mbb/hand)
[slumbot] Hand 2640/25000: won=-50 total=-349964 (-1325.62 mbb/hand)
[slumbot] Hand 2650/25000: won=200 total=-349064 (-1317.22 mbb/hand)
[slumbot] Hand 2660/25000: won=-50 total=-349964 (-1315.65 mbb/hand)
[slumbot] Hand 2670/25000: won=-50 total=-349964 (-1310.73 mbb/hand)
[slumbot] Hand 2680/25000: won=-100 total=-348489 (-1300.33 mbb/hand)
[slumbot] Hand 2690/25000: won=100 total=-348989 (-1297.36 mbb/hand)
[slumbot] Hand 2700/25000: won=-50 total=-347564 (-1287.27 mbb/hand)
[slumbot] Hand 2710/25000: won=-50 total=-348314 (-1285.29 mbb/hand)
[slumbot] Hand 2720/25000: won=400 total=-368114 (-1353.36 mbb/hand)
[slumbot] Hand 2730/25000: won=100 total=-366314 (-1341.81 mbb/hand)
[slumbot] Hand 2740/25000: won=100 total=-366364 (-1337.09 mbb/hand)
[slumbot] Hand 2750/25000: won=100 total=-366539 (-1332.87 mbb/hand)
[slumbot] Hand 2760/25000: won=-50 total=-362189 (-1312.28 mbb/hand)
[slumbot] Hand 2770/25000: won=-100 total=-361539 (-1305.19 mbb/hand)
[slumbot] Hand 2780/25000: won=300 total=-360914 (-1298.25 mbb/hand)
[slumbot] Hand 2790/25000: won=-50 total=-361464 (-1295.57 mbb/hand)
[slumbot] Hand 2800/25000: won=100 total=-359439 (-1283.71 mbb/hand)
[slumbot] Hand 2810/25000: won=100 total=-353864 (-1259.30 mbb/hand)
[slumbot] Hand 2820/25000: won=100 total=-353864 (-1254.84 mbb/hand)
[slumbot] Hand 2830/25000: won=-50 total=-351064 (-1240.51 mbb/hand)
[slumbot] Hand 2840/25000: won=275 total=-351439 (-1237.46 mbb/hand)
[slumbot] Hand 2850/25000: won=-50 total=-330764 (-1160.58 mbb/hand)
[slumbot] Hand 2860/25000: won=-50 total=-330239 (-1154.68 mbb/hand)
[slumbot] Hand 2870/25000: won=-50 total=-326389 (-1137.24 mbb/hand)
[slumbot] Hand 2880/25000: won=-50 total=-326539 (-1133.82 mbb/hand)
[slumbot] Hand 2890/25000: won=100 total=-326614 (-1130.15 mbb/hand)
[slumbot] Hand 2900/25000: won=100 total=-326614 (-1126.26 mbb/hand)
[slumbot] Hand 2910/25000: won=-50 total=-347314 (-1193.52 mbb/hand)
[slumbot] Hand 2920/25000: won=-50 total=-346414 (-1186.35 mbb/hand)
[slumbot] Hand 2930/25000: won=300 total=-371314 (-1267.28 mbb/hand)
[slumbot] Hand 2940/25000: won=550 total=-370264 (-1259.40 mbb/hand)
[slumbot] Hand 2950/25000: won=100 total=-370389 (-1255.56 mbb/hand)
[slumbot] Hand 2960/25000: won=-800 total=-364639 (-1231.89 mbb/hand)
[slumbot] Hand 2970/25000: won=-100 total=-363939 (-1225.38 mbb/hand)
[slumbot] Hand 2980/25000: won=275 total=-378089 (-1268.76 mbb/hand)
[slumbot] Hand 2990/25000: won=100 total=-378339 (-1265.35 mbb/hand)
[slumbot] Hand 3000/25000: won=-50 total=-377064 (-1256.88 mbb/hand)
[slumbot] Hand 3010/25000: won=100 total=-375914 (-1248.88 mbb/hand)
[slumbot] Hand 3020/25000: won=400 total=-375414 (-1243.09 mbb/hand)
[slumbot] Hand 3030/25000: won=-50 total=-375514 (-1239.32 mbb/hand)
[slumbot] Hand 3040/25000: won=-50 total=-376114 (-1237.22 mbb/hand)
[slumbot] Hand 3050/25000: won=-50 total=-355739 (-1166.36 mbb/hand)
[slumbot] Hand 3060/25000: won=100 total=-355289 (-1161.08 mbb/hand)
[slumbot] Hand 3070/25000: won=275 total=-350514 (-1141.74 mbb/hand)
[slumbot] Hand 3080/25000: won=100 total=-348664 (-1132.03 mbb/hand)
[slumbot] Hand 3090/25000: won=-50 total=-349264 (-1130.30 mbb/hand)
[slumbot] Hand 3100/25000: won=-50 total=-348439 (-1124.00 mbb/hand)
[slumbot] Hand 3110/25000: won=-900 total=-350164 (-1125.93 mbb/hand)
[slumbot] Hand 3120/25000: won=-275 total=-370039 (-1186.02 mbb/hand)
[slumbot] Hand 3130/25000: won=-50 total=-367489 (-1174.09 mbb/hand)
[slumbot] Hand 3140/25000: won=-50 total=-346764 (-1104.34 mbb/hand)
[slumbot] Hand 3150/25000: won=100 total=-346314 (-1099.41 mbb/hand)
